ls_xy,ls_z,os_xyz,ls_t,os_t,ls_ap,mse
0.06,0.5,25.0,5.0,75.0,1000000.0,
0.06,1.0,150.0,0.02,25.0,1000000.0,
0.015,0.5,150.0,5.0,75.0,2.0,63.623390197753906
0.015,1.0,150.0,0.1,25.0,2.0,69.19763946533203
0.015,0.25,25.0,5.0,5.0,2.0,57.53265380859375
0.12,0.25,150.0,5.0,25.0,1.0,
0.24,1.0,150.0,0.1,5.0,0.5,
0.03,0.5,25.0,0.02,5.0,0.5,57.46868896484375
0.12,1.0,75.0,0.02,5.0,0.5,63.83810806274414
0.015,0.5,25.0,50.0,75.0,0.5,52.65255355834961
0.03,0.5,75.0,0.5,25.0,1000000.0,69.11343383789062
0.12,0.25,75.0,50.0,25.0,2.0,
0.03,0.25,25.0,50.0,25.0,1.0,53.328548431396484
0.06,0.25,25.0,0.1,25.0,2.0,71.35026550292969
0.06,0.25,25.0,5.0,25.0,2.0,65.00311279296875
0.03,0.5,25.0,5.0,25.0,0.5,54.160953521728516
0.06,0.25,25.0,0.02,25.0,1000000.0,93.94573974609375
0.06,0.25,75.0,0.1,25.0,0.5,67.79580688476562
0.03,0.5,25.0,0.1,25.0,1000000.0,74.95840454101562
0.015,0.5,75.0,50.0,25.0,1.0,54.96025848388672
0.015,0.5,150.0,50.0,25.0,1.0,57.41450500488281
0.015,0.5,150.0,0.1,75.0,2.0,75.1441879272461
0.12,0.25,25.0,50.0,5.0,2.0,68.82557678222656
0.03,0.25,75.0,0.02,75.0,1.0,79.98457336425781
0.12,1.0,150.0,0.1,25.0,1.0,
0.015,0.25,75.0,50.0,25.0,0.5,53.923709869384766
0.03,0.5,150.0,0.5,75.0,1000000.0,
0.06,0.25,150.0,5.0,25.0,2.0,62.788204193115234
0.12,1.0,150.0,0.02,5.0,1000000.0,
0.24,0.25,25.0,0.1,5.0,2.0,82.00132751464844
0.015,1.0,75.0,5.0,5.0,1.0,56.215240478515625
0.24,1.0,75.0,0.02,5.0,1.0,72.24517059326172
0.24,0.25,25.0,0.1,25.0,0.5,82.22438049316406
0.03,0.25,75.0,50.0,25.0,1000000.0,65.54932403564453
0.12,0.5,75.0,0.02,75.0,1000000.0,
0.24,0.25,150.0,50.0,25.0,1.0,
0.24,0.5,25.0,50.0,25.0,1000000.0,
0.03,0.25,25.0,5.0,5.0,2.0,57.36510467529297
0.015,1.0,150.0,0.5,5.0,1000000.0,68.84358215332031
0.06,0.5,25.0,0.1,75.0,1000000.0,
0.015,0.25,150.0,5.0,5.0,2.0,61.05763244628906
0.12,1.0,25.0,0.1,5.0,2.0,74.63048553466797
0.12,1.0,150.0,5.0,75.0,1.0,
0.03,1.0,75.0,0.1,75.0,1000000.0,75.37994384765625
0.24,0.25,25.0,0.1,25.0,1.0,87.05542755126953
0.015,1.0,75.0,5.0,75.0,1.0,57.833648681640625
0.015,1.0,25.0,0.02,75.0,1000000.0,92.71939849853516
0.03,0.5,25.0,0.1,5.0,1.0,57.24856185913086
0.03,1.0,25.0,0.1,75.0,1.0,69.80146789550781
0.06,0.5,150.0,50.0,75.0,2.0,
0.24,1.0,75.0,5.0,25.0,2.0,
0.24,0.25,150.0,50.0,75.0,1000000.0,
0.015,1.0,75.0,0.1,25.0,1000000.0,71.74330139160156
0.24,0.25,150.0,50.0,75.0,2.0,
0.015,0.25,150.0,0.5,5.0,0.5,56.674373626708984
0.24,0.5,75.0,0.02,25.0,2.0,
0.12,0.5,75.0,5.0,25.0,2.0,
0.24,1.0,75.0,5.0,25.0,0.5,71.37724304199219
0.015,0.5,150.0,0.5,25.0,0.5,58.751224517822266
0.12,0.5,25.0,50.0,5.0,2.0,69.21798706054688
0.03,1.0,150.0,0.02,25.0,1000000.0,82.22862243652344
0.015,0.5,75.0,50.0,5.0,2.0,57.62313461303711
0.12,0.25,75.0,0.5,25.0,0.5,67.81057739257812
0.03,1.0,150.0,0.5,25.0,0.5,62.713680267333984
0.12,0.25,150.0,50.0,25.0,1.0,
0.12,0.25,150.0,0.02,75.0,2.0,
0.03,1.0,150.0,0.02,5.0,2.0,55.59154510498047
0.06,1.0,25.0,5.0,25.0,0.5,63.21932601928711
0.12,0.5,25.0,50.0,75.0,1.0,
0.03,0.5,75.0,0.1,5.0,1.0,54.6554069519043
0.24,0.25,150.0,0.5,5.0,1000000.0,
0.24,0.5,25.0,0.02,5.0,1000000.0,97.63719177246094
0.12,0.5,150.0,50.0,75.0,1000000.0,
0.015,0.25,25.0,0.5,75.0,0.5,56.05272674560547
0.03,0.5,150.0,0.02,5.0,2.0,55.428157806396484
0.24,1.0,25.0,0.02,5.0,2.0,82.87989044189453
0.015,0.25,150.0,0.5,25.0,1.0,60.35188293457031
0.015,0.25,25.0,5.0,25.0,1000000.0,63.323116302490234
0.06,0.25,25.0,0.02,25.0,0.5,76.3622817993164
0.015,1.0,25.0,0.02,25.0,1000000.0,85.50605010986328
